sample_id,athlete_name,distance,round,start_ratio_to_mean,finish_ratio_to_mean,finish_vs_mid_delta,finish_vs_previous_delta,lap_time_std,lap_time_cv,lap_time_delta_std,start_position,final_position,mean_position,position_std,position_range,position_gain_total,overtake_events_count,position_loss_events_count,positive_position_gain_sum,negative_position_loss_sum,position_stability_score
500m_000000,Marianne St-Gelais,500m,Heats,0.8377082857795023,1.041999543483223,0.1750000000000007,0.10000000000000142,0.8199817071130309,0.0935838515308184,1.1404787006633073,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
500m_000001,Yutong Han,500m,Heats,0.8764531570549352,1.0143606108958287,0.040000000000000924,0.08000000000000007,0.6757810296242415,0.07702086045409637,1.0922873553541974,3.0,2.0,2.4,0.5477225575051661,1.0,1.0,1,0,1.0,0.0,0.646110632135477
500m_000002,Selma Poutsma,500m,Heats,0.8761396486546589,1.0418056482099178,0.2599999999999998,0.27999999999999936,0.6453913541410358,0.07175798911952812,0.8729786175311894,4.0,3.0,3.4,0.5477225575051661,1.0,1.0,1,0,1.0,0.0,0.646110632135477
500m_000003,Sumire Kikuchi,500m,Heats,0.8260297984224364,1.060473269062226,0.28500000000000014,0.25,0.8977026233670035,0.09834603674046927,1.0588515791491593,2.0,4.0,3.2,1.0954451150103321,2.0,-2.0,0,1,0.0,2.0,0.47722557505166113
500m_000004,Kamila SELLIER,500m,Heats,0.8183694530443757,1.0773993808049536,0.45500000000000007,0.29999999999999893,1.0072983669201494,0.10395235984728064,1.0711170181948684,5.0,5.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
