sample_id,athlete_name,distance,round,reconstructed_total_time,official_total_time_filled,mean_lap_time,lap_time_std,lap_time_cv,lap_time_range,lap_time_delta_std,position_std,position_range,position_loss_events_count,negative_position_loss_sum,finish_vs_mid_delta,finish_vs_previous_delta,final_position,position_gain_total
1000m_000000,Kasandra Bradette,1000m,Heats,98.27000000000001,98.279,10.91888888888889,1.7905477126039149,0.16398625636954545,5.49,0.9608469106544947,0.5270462766947299,1.0,1,1.0,-0.120000000000001,0.3800000000000008,1.0,0.0
1000m_000001,Sofia Thorup-Prosvirnova,1000m,Heats,98.37,98.374,10.93,1.8096615705705863,0.16556830471826042,5.550000000000001,1.045793444505859,0.7071067811865476,2.0,2,2.0,-0.18249999999999922,0.46000000000000085,2.0,0.0
1000m_000002,Alica Porubská,1000m,Heats,98.69000000000001,98.691,10.965555555555557,1.824624009975145,0.1663959478141281,5.540000000000001,1.0157535907605042,0.33333333333333337,1.0,1,1.0,-0.14749999999999908,0.27000000000000135,3.0,0.0
1000m_000003,Aurelie MONVOISIN,1000m,Heats,98.69999999999999,98.708,10.966666666666665,1.8233348567940006,0.16626153709367789,5.68,1.027229283071701,0.6666666666666667,2.0,1,2.0,-0.192499999999999,0.17999999999999972,4.0,0.0
1000m_000004,Alica Porubská,1000m,Rep. Heats,101.58,101.584,11.286666666666667,2.3574562562219468,0.20887090279580153,7.229999999999999,1.7904942454130202,1.224744871391589,3.0,1,1.0,0.054999999999999716,0.16999999999999993,1.0,2.0
