sample_id,athlete_name,distance,round,start_ratio_to_mean,finish_ratio_to_mean,finish_vs_mid_delta,finish_vs_previous_delta,lap_time_std,lap_time_cv,lap_time_delta_std,start_position,final_position,mean_position,position_std,position_range,position_gain_total,overtake_events_count,position_loss_events_count,positive_position_gain_sum,negative_position_loss_sum,position_stability_score
1000m_000000,Kasandra Bradette,1000m,Heats,1.371018622163427,0.912180726569655,-0.120000000000001,0.3800000000000008,1.7905477126039149,0.16398625636954545,0.9608469106544947,1.0,1.0,1.4444444444444444,0.5270462766947299,1.0,0.0,1,1,1.0,1.0,0.6548590014996047
1000m_000001,Sofia Thorup-Prosvirnova,1000m,Heats,1.3778591033851786,0.9121683440073194,-0.18249999999999922,0.46000000000000085,1.8096615705705863,0.16556830471826042,1.045793444505859,2.0,2.0,1.6666666666666667,0.7071067811865476,2.0,0.0,1,2,2.0,2.0,0.585786437626905
1000m_000002,Alica Porubská,1000m,Heats,1.382510892694295,0.909210659641301,-0.14749999999999908,0.27000000000000135,1.824624009975145,0.1663959478141281,1.0157535907605042,3.0,3.0,3.111111111111111,0.33333333333333337,1.0,0.0,1,1,1.0,1.0,0.7499999999999999
1000m_000003,Aurelie MONVOISIN,1000m,Heats,1.3887537993920975,0.903647416413374,-0.192499999999999,0.17999999999999972,1.8233348567940006,0.16626153709367789,1.027229283071701,4.0,4.0,3.7777777777777777,0.6666666666666667,2.0,0.0,1,1,2.0,2.0,0.6
1000m_000004,Alica Porubská,1000m,Rep. Heats,1.5256940342587122,0.9010632014176019,0.054999999999999716,0.16999999999999993,2.3574562562219468,0.20887090279580153,1.7904942454130202,3.0,1.0,2.3333333333333335,1.224744871391589,3.0,2.0,2,1,3.0,1.0,0.4494897427831781
