sample_id,athlete_name,gender,distance,round,lap1_position,lap2_position,lap3_position,lap4_position,lap5_position,lap_time_std,lap_time_cv,lap_time_range,start_ratio_to_mean,finish_ratio_to_mean,finish_vs_mid_delta,finish_vs_previous_delta,position_std,position_range,position_gain_total,position_stability_score,overtake_events_count,position_loss_events_count,positive_position_gain_sum,negative_position_loss_sum,lap_time_delta_std,lap2_time_delta_from_previous,lap3_time_delta_from_previous,lap4_time_delta_from_previous,lap5_time_delta_from_previous,lap2_position_gain_from_previous,lap3_position_gain_from_previous,lap4_position_gain_from_previous,lap5_position_gain_from_previous,first_turn_position,early_position_gain_lap1_2,explosive_stability_lap1_3_std,last_lap_conversion_delta,late_position_conversion
female_500m_000000,Marianne St-Gelais,female,500m,Heats,1.0,1.0,1.0,1.0,1.0,0.8199817071130309,0.0935838515308184,2.09,0.8377082857795023,1.041999543483223,0.1750000000000007,0.10000000000000142,0.0,0.0,0.0,1.0,0,0,0.0,0.0,1.1404787006633073,2.09,-0.5499999999999989,0.14999999999999858,0.10000000000000142,0.0,0.0,0.0,0.0,1.0,0.0,1.0833743581975717,0.10000000000000142,0.0
female_500m_000001,Yutong Han,female,500m,Heats,3.0,3.0,2.0,2.0,2.0,0.6757810296242415,0.07702086045409637,1.87,0.8764531570549352,1.0143606108958287,0.040000000000000924,0.08000000000000007,0.5477225575051661,1.0,1.0,0.646110632135477,1,0,1.0,0.0,1.0922873553541974,1.87,-0.6600000000000001,-0.08000000000000007,0.08000000000000007,0.0,1.0,0.0,0.0,3.0,0.0,0.9483845914676879,0.08000000000000007,0.0
female_500m_000002,Selma Poutsma,female,500m,Heats,4.0,4.0,3.0,3.0,3.0,0.6453913541410358,0.07175798911952812,1.62,0.8761396486546589,1.0418056482099178,0.2599999999999998,0.27999999999999936,0.5477225575051661,1.0,1.0,0.646110632135477,1,0,1.0,0.0,0.8729786175311894,1.62,-0.3699999999999992,-0.040000000000000924,0.27999999999999936,0.0,1.0,0.0,0.0,4.0,0.0,0.8489012506371596,0.27999999999999936,0.0
female_500m_000003,Sumire Kikuchi,female,500m,Heats,2.0,2.0,4.0,4.0,4.0,0.8977026233670035,0.09834603674046927,2.1399999999999997,0.8260297984224364,1.060473269062226,0.28500000000000014,0.25,1.0954451150103321,2.0,-2.0,0.47722557505166113,0,1,0.0,2.0,1.0588515791491593,2.0900000000000007,-0.27000000000000135,0.07000000000000028,0.25,0.0,-2.0,0.0,0.0,2.0,0.0,1.1367644141744293,0.25,0.0
female_500m_000004,Kamila SELLIER,female,500m,Heats,5.0,5.0,5.0,5.0,5.0,1.0072983669201494,0.10395235984728064,2.51,0.8183694530443757,1.0773993808049536,0.45500000000000007,0.29999999999999893,0.0,0.0,0.0,1.0,0,0,0.0,0.0,1.0711170181948684,2.1799999999999997,-0.27999999999999936,0.3100000000000005,0.29999999999999893,0.0,0.0,0.0,0.0,5.0,0.0,1.186086000254619,0.29999999999999893,0.0
