sample_id,risk_score,risk_label
1500m_000000,-0.056876775278222325,0
1500m_000001,-0.10286709246092512,0
1500m_000002,-0.08443586304460182,0
1500m_000003,-0.02634395111587501,0
1500m_000004,-0.07168099151678842,0
