sample_id,athlete_name,gender,distance,round,reconstructed_total_time,official_total_time_filled,mean_lap_time,lap1_time,lap2_time,lap3_time,lap4_time,lap5_time,lap6_time,lap7_time,lap8_time,lap9_time,lap10_time,lap11_time,lap12_time,lap13_time,lap14_time,lap1_position,lap2_position,lap3_position,lap4_position,lap5_position,lap6_position,lap7_position,lap8_position,lap9_position,lap10_position,lap11_position,lap12_position,lap13_position,lap14_position,median_lap_time,lap_time_std,lap_time_cv,fastest_lap_time,slowest_lap_time,lap_time_range,early_lap_mean_time,mid_lap_mean_time,late_lap_mean_time,start_ratio_to_mean,finish_ratio_to_mean,finish_vs_mid_delta,finish_vs_previous_delta,start_position,final_position,mean_position,position_std,best_position,worst_position,position_range,position_gain_total,position_stability_score,overtake_events_count,position_loss_events_count,positive_position_gain_sum,negative_position_loss_sum,lap_time_delta_std,lap2_time_delta_from_previous,lap3_time_delta_from_previous,lap4_time_delta_from_previous,lap5_time_delta_from_previous,lap6_time_delta_from_previous,lap7_time_delta_from_previous,lap8_time_delta_from_previous,lap9_time_delta_from_previous,lap10_time_delta_from_previous,lap11_time_delta_from_previous,lap12_time_delta_from_previous,lap13_time_delta_from_previous,lap14_time_delta_from_previous,lap2_position_gain_from_previous,lap3_position_gain_from_previous,lap4_position_gain_from_previous,lap5_position_gain_from_previous,lap6_position_gain_from_previous,lap7_position_gain_from_previous,lap8_position_gain_from_previous,lap9_position_gain_from_previous,lap10_position_gain_from_previous,lap11_position_gain_from_previous,lap12_position_gain_from_previous,lap13_position_gain_from_previous,lap14_position_gain_from_previous,long_pace_early_mean_lap2_5,long_pace_mid_mean_lap6_10,long_pace_late_mean_lap11_14,mid_energy_saving_delta,pace_layering_range,attack_gain_lap10_12,back_end_capacity_lap11_14_vs_mid,late_position_gain_lap10_14
male_1500m_000000,John-Henry Krueger,male,1500m,Heats,141.39999999999998,141.407,10.099999999999998,10.07,13.5,11.59,10.88,10.1,9.38,9.25,9.49,9.44,9.45,9.38,9.25,9.37,10.25,2.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.469999999999999,1.1979726464066123,0.1186111531095656,9.25,13.5,4.25,11.228,9.402000000000001,9.5625,0.9970297029702972,1.014851485148515,0.847999999999999,0.8800000000000008,2.0,1.0,1.7142857142857142,1.0690449676496974,1.0,4.0,3.0,1.0,0.4833147735478829,2,2,5.0,4.0,1.2223306867179222,3.4299999999999997,-1.9100000000000001,-0.7099999999999991,-0.7800000000000011,-0.7199999999999989,-0.13000000000000078,0.2400000000000002,-0.05000000000000071,0.009999999999999787,-0.06999999999999851,-0.13000000000000078,0.11999999999999922,0.8800000000000008,-2.0,3.0,-2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5175,9.402000000000001,9.5625,-2.115499999999999,2.115499999999999,0.0,0.16049999999999898,0.0
male_1500m_000001,Dan IWASA,male,1500m,Heats,142.25,142.253,10.160714285714286,10.48,13.7,11.76,10.79,9.94,9.45,9.34,9.31,9.21,9.38,9.34,9.37,9.82,10.36,7.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,9.635,1.2557955755108103,0.12359323766011489,9.21,13.7,4.489999999999998,11.334,9.338000000000001,9.7225,1.0314235500878735,1.0196133567662564,1.0219999999999985,0.5399999999999991,7.0,2.0,5.142857142857143,2.7695360027141134,2.0,8.0,6.0,5.0,0.2652846396161192,3,1,6.0,1.0,1.1755456997954998,3.219999999999999,-1.9399999999999995,-0.9700000000000006,-0.8499999999999996,-0.4900000000000002,-0.10999999999999943,-0.02999999999999936,-0.09999999999999964,0.16999999999999993,-0.040000000000000924,0.02999999999999936,0.45000000000000107,0.5399999999999991,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,11.5475,9.338000000000001,9.7225,-2.2094999999999985,2.2094999999999985,0.0,0.3844999999999992,0.0
male_1500m_000002,Csaba BURJAN,male,1500m,Heats,143.18,143.189,10.227142857142857,9.94,13.38,12.14,10.77,10.07,9.44,9.88,9.86,9.62,9.55,9.65,9.39,9.63,9.86,1.0,2.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,6.0,5.0,5.0,3.0,3.0,9.86,1.1512095884258076,0.11256414469871005,9.39,13.38,3.99,11.260000000000002,9.669999999999998,9.6325,0.9719234529962285,0.964101131442939,0.19000000000000128,0.22999999999999865,1.0,3.0,4.571428571428571,1.869359648250035,1.0,7.0,6.0,-2.0,0.34850981493723865,3,4,4.0,6.0,1.175411548221434,3.4400000000000013,-1.2400000000000002,-1.370000000000001,-0.6999999999999993,-0.6300000000000008,0.4400000000000013,-0.02000000000000135,-0.2400000000000002,-0.06999999999999851,0.09999999999999964,-0.2599999999999998,0.2400000000000002,0.22999999999999865,-1.0,-2.0,0.0,-1.0,0.0,-2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,11.590000000000002,9.669999999999998,9.6325,-1.9200000000000035,1.9575000000000014,1.0,-0.03749999999999787,3.0
male_1500m_000003,Guang Chen,male,1500m,Heats,143.66999999999996,143.679,10.262142857142853,10.53,13.39,11.69,10.88,10.08,9.42,9.35,9.3,9.34,10.55,9.52,9.49,9.78,10.35,8.0,6.0,5.0,6.0,7.0,7.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,9.93,1.1467759392946189,0.11174819482233361,9.3,13.39,4.09,11.314,9.591999999999999,9.785,1.0261014825642099,1.0085612862810611,0.7580000000000009,0.5700000000000003,8.0,4.0,5.142857142857143,1.5118578920369088,3.0,8.0,5.0,4.0,0.3981116938064847,6,4,9.0,5.0,1.1453786743659535,2.860000000000001,-1.700000000000001,-0.8099999999999987,-0.8000000000000007,-0.6600000000000001,-0.07000000000000028,-0.049999999999998934,0.03999999999999915,1.2100000000000009,-1.0300000000000011,-0.02999999999999936,0.28999999999999915,0.5700000000000003,2.0,1.0,-1.0,-1.0,0.0,2.0,0.0,2.0,-2.0,1.0,0.0,1.0,-1.0,11.51,9.591999999999999,9.785,-1.918000000000001,1.918000000000001,1.0,0.1930000000000014,1.0
male_1500m_000004,Farrell TREACY,male,1500m,Heats,145.11999999999998,145.124,10.365714285714285,10.17,12.97,12.12,11.07,10.09,9.45,9.31,9.31,9.77,9.53,9.75,9.8,10.61,11.17,4.0,1.0,2.0,5.0,6.0,6.0,3.0,3.0,6.0,3.0,3.0,3.0,5.0,5.0,9.945,1.109287465591621,0.10701505318552022,9.31,12.97,3.66,11.284,9.474,10.3325,0.9811190738699008,1.0775909592061743,1.6959999999999997,0.5600000000000005,4.0,5.0,3.9285714285714284,1.5915297775935684,1.0,6.0,5.0,-1.0,0.3858724714051234,3,5,9.0,10.0,1.0110834503589423,2.8000000000000007,-0.8500000000000014,-1.049999999999999,-0.9800000000000004,-0.6400000000000006,-0.1399999999999988,0.0,0.4599999999999991,-0.2400000000000002,0.22000000000000064,0.05000000000000071,0.8099999999999987,0.5600000000000005,3.0,-1.0,-3.0,-1.0,0.0,3.0,0.0,-3.0,3.0,0.0,0.0,-2.0,0.0,11.5625,9.474,10.3325,-2.0885,2.0885,0.0,0.8584999999999994,-2.0
