sample_id,athlete_name,gender,distance,round,lap1_position,lap2_position,lap3_position,lap4_position,lap5_position,lap6_position,lap7_position,lap8_position,lap9_position,lap_time_std,lap_time_cv,lap_time_range,start_ratio_to_mean,finish_ratio_to_mean,finish_vs_mid_delta,finish_vs_previous_delta,position_std,position_range,position_gain_total,position_stability_score,overtake_events_count,position_loss_events_count,positive_position_gain_sum,negative_position_loss_sum,lap_time_delta_std,lap2_time_delta_from_previous,lap3_time_delta_from_previous,lap4_time_delta_from_previous,lap5_time_delta_from_previous,lap6_time_delta_from_previous,lap7_time_delta_from_previous,lap8_time_delta_from_previous,lap9_time_delta_from_previous,lap2_position_gain_from_previous,lap3_position_gain_from_previous,lap4_position_gain_from_previous,lap5_position_gain_from_previous,lap6_position_gain_from_previous,lap7_position_gain_from_previous,lap8_position_gain_from_previous,lap9_position_gain_from_previous,mid_position_control_mean_lap3_6,acceleration_lap6_vs_lap5,speed_hold_lap6_8_std,late_position_gain_lap7_9
male_1000m_000000,Daan Breeuwsma,male,1000m,Heats,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4139464079110087,0.14490455102709038,4.390000000000001,1.3835117285356409,0.9940787975404234,0.5075000000000003,0.3199999999999985,1.0,3.0,3.0,0.5,1,0,3.0,0.0,1.5362384487535035,-4.26,-0.009999999999999787,0.05999999999999872,-0.06999999999999851,-0.11000000000000121,0.040000000000000924,0.23000000000000043,0.3199999999999985,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.11000000000000121,0.14571661996262986,0.0
male_1000m_000001,Denis NIKISHA,male,1000m,Heats,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.260516869295202,0.12765445958880184,3.9299999999999997,1.3256441993923709,1.042083942837853,1.0549999999999997,0.7599999999999998,0.8660254037844386,3.0,-2.0,0.5358983848622454,1,3,1.0,3.0,1.2442668524074725,-3.289999999999999,-0.5800000000000001,0.03999999999999915,-0.03999999999999915,-0.0600000000000005,0.14000000000000057,0.22999999999999865,0.7599999999999998,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,2.0,-0.0600000000000005,0.18681541692269357,0.0
male_1000m_000002,Thomas Insuk Hong,male,1000m,Heats,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.35407854775267,0.39026697470146426,13.09,1.1921123394084254,1.9898416492381235,13.0425,12.889999999999999,0.6009252125773316,2.0,-1.0,0.6246387977050463,1,1,1.0,2.0,4.91771651422545,-3.5700000000000003,-0.4900000000000002,-0.040000000000000924,0.010000000000001563,-0.10000000000000142,0.0,0.20000000000000107,12.889999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,3.0,-0.10000000000000142,0.11547005383792577,-2.0
male_1000m_000003,Paul STANLEY,male,1000m,Heats,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.3278878383022834,0.13562177195552144,4.1,1.3522469359963685,1.0029505220154333,0.6575000000000006,0.5899999999999999,0.8819171036881968,2.0,0.0,0.5313730334031141,2,1,2.0,2.0,1.2147868713717411,-3.3100000000000005,-0.6799999999999997,-0.09999999999999964,0.0600000000000005,-0.0600000000000005,-0.009999999999999787,0.08999999999999986,0.5899999999999999,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,-0.0600000000000005,0.04932882862316244,2.0
male_1000m_000004,Quentin FERCOQ,male,1000m,Rep. Heats,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2419212990448862,0.21658750205457253,7.149999999999999,1.5650493774151997,0.9332331472735079,0.29749999999999943,0.4399999999999995,1.0,3.0,3.0,0.5,1,0,3.0,0.0,2.0254082480893993,-5.779999999999999,-0.20999999999999908,-0.4200000000000017,-0.379999999999999,-0.21000000000000085,-0.14999999999999858,0.16999999999999993,0.4399999999999995,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.21000000000000085,0.09291573243177534,0.0
