sample_id,risk_score,risk_label
500m_000000,-0.09808883571796456,0
500m_000001,-0.08462451046632469,0
500m_000002,-0.08970349495487745,0
500m_000003,-0.016380167009701463,0
500m_000004,0.009533644842657563,1
