sample_id,predicted_label,true_label,max_probability,probability_positive
1500m_000000,1,1,0.9587226932098775,0.9587226932098775
1500m_000001,1,1,0.9110558953262696,0.9110558953262696
1500m_000002,1,1,0.68481629496293,0.68481629496293
1500m_000003,0,0,0.8744925557263369,0.12550744427366278
1500m_000004,0,0,0.9705532805973962,0.029446719402603704
