n,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc,split,target,gender,distance,model_id,task,features_n,training_rows,sample_size_too_small,skipped,silhouette,cluster_counts,anomaly_rate,risk_score_mean,risk_score_std
1020,0.7607843137254902,0.7411491866820195,0.7441611842105262,0.7589941305469556,0.7484834812252469,0.7411491866820195,0.8288504889638508,athlete_group_holdout,final_entry_label,female,500m,female_500m_final_entry,final_entry,55,4278,False,False,,,,,
2148,0.7700186219739292,0.7720245649777897,0.7450671740759961,0.7778902097036343,0.7368123600732708,0.7720245649777897,0.8604943889649644,time_external_season_ge_2023,final_entry_label,female,500m,female_500m_final_entry,final_entry,55,4278,False,False,,,,,
1070,0.7869158878504673,0.7326136931534233,0.7430745121827924,0.7807661926210648,0.7612349082484364,0.7326136931534233,0.8342868565717141,random_stratified_holdout,final_entry_label,female,500m,female_500m_final_entry,final_entry,55,4278,False,False,,,,,
1020,1.0,1.0,1.0,1.0,1.0,1.0,,athlete_group_holdout,tactical_style_label,female,500m,female_500m_tactical_style,tactical_style,34,4278,False,False,,,,,
2148,1.0,1.0,1.0,1.0,1.0,1.0,,time_external_season_ge_2023,tactical_style_label,female,500m,female_500m_tactical_style,tactical_style,34,4278,False,False,,,,,
1070,1.0,1.0,1.0,1.0,1.0,1.0,,random_stratified_holdout,tactical_style_label,female,500m,female_500m_tactical_style,tactical_style,34,4278,False,False,,,,,
1020,0.9,0.8607282373423677,0.8668856243190216,0.9002735623321989,0.874556204288702,0.8607282373423677,,athlete_group_holdout,key_lap_label,female,500m,female_500m_key_lap,key_lap,55,4278,False,False,,,,,
2148,0.8910614525139665,0.867443163831742,0.8600835397047988,0.8913903254608513,0.8544384710844198,0.867443163831742,,time_external_season_ge_2023,key_lap_label,female,500m,female_500m_key_lap,key_lap,55,4278,False,False,,,,,
1070,0.9074766355140187,0.8941185346864678,0.8838664920453821,0.9080745849358624,0.8753315359246331,0.8941185346864678,,random_stratified_holdout,key_lap_label,female,500m,female_500m_key_lap,key_lap,55,4278,False,False,,,,,
4278,,,,,,,,unsupervised_full_fit,style_cluster,female,500m,female_500m_style_cluster,style_cluster,18,4278,False,False,0.4499170325595912,"{0: 940, 1: 2084, 2: 1118, 3: 136}",,,
4278,,,,,,,,unsupervised_full_fit,risk_score,female,500m,female_500m_risk_detection,risk_detection,15,4278,False,False,,,0.12014960261804582,-0.05133612568431688,0.07460067155794417
1410,0.8354609929078014,0.835195952350764,0.8353148712000387,0.8353983693187603,0.8357067271352986,0.835195952350764,0.9209951678570925,athlete_group_holdout,advancement_label,male,1000m,male_1000m_advancement,advancement,70,5308,False,False,,,,,
2906,0.8279421885753613,0.8299625507503219,0.8274947488594233,0.828274745120991,0.8274177013219332,0.8299625507503219,0.9166219478193116,time_external_season_ge_2023,advancement_label,male,1000m,male_1000m_advancement,advancement,70,5308,False,False,,,,,
1327,0.840241145440844,0.8399821889426047,0.840073220092321,0.8401317987022708,0.8409146824854432,0.8399821889426047,0.9202500817854676,random_stratified_holdout,advancement_label,male,1000m,male_1000m_advancement,advancement,70,5308,False,False,,,,,
1566,0.5772669220945083,0.576044542305445,0.5760340008850935,0.5772176792544322,0.5776271952292759,0.576044542305445,,athlete_group_holdout,grade_label,male,1000m,male_1000m_grade,grade,45,5704,False,False,,,,,
3064,0.5205613577023499,0.5182145845537691,0.5218076270937302,0.5259579679780682,0.5283535810368992,0.5182145845537691,,time_external_season_ge_2023,grade_label,male,1000m,male_1000m_grade,grade,45,5704,False,False,,,,,
1426,0.5855539971949509,0.585595474144714,0.5874048261406253,0.587340386220858,0.5917253318056727,0.585595474144714,,random_stratified_holdout,grade_label,male,1000m,male_1000m_grade,grade,45,5704,False,False,,,,,
1566,0.4425287356321839,0.2915570144141573,0.29186396117458313,0.41474476471295835,0.32644656723942406,0.2915570144141573,,athlete_group_holdout,max_round_score,male,1000m,male_1000m_max_round,max_round,70,5704,False,False,,,,,
3064,0.389686684073107,0.29746145267680385,0.22984366531038988,0.3843744321599207,0.26259212932522896,0.25496695943726044,,time_external_season_ge_2023,max_round_score,male,1000m,male_1000m_max_round,max_round,70,5704,False,False,,,,,
1426,0.4642356241234222,0.3244575585644437,0.33848598947950226,0.4375308314240514,0.4119962244179852,0.3244575585644437,,random_stratified_holdout,max_round_score,male,1000m,male_1000m_max_round,max_round,70,5704,False,False,,,,,
1566,0.7637292464878672,0.7009171195652173,0.6990463724756919,0.7647983849012916,0.6973128243143069,0.7009171195652173,0.797181125872249,athlete_group_holdout,final_entry_label,male,1000m,male_1000m_final_entry,final_entry,70,5704,False,False,,,,,
3064,0.777088772845953,0.6832717836111388,0.6833641312792896,0.777032549305721,0.6834567790596002,0.6832717836111388,0.8165255711118571,time_external_season_ge_2023,final_entry_label,male,1000m,male_1000m_final_entry,final_entry,70,5704,False,False,,,,,
1426,0.7685834502103787,0.6929949399114484,0.6956680325324394,0.766912036624638,0.6986532605271447,0.6929949399114484,0.8049289955316153,random_stratified_holdout,final_entry_label,male,1000m,male_1000m_final_entry,final_entry,70,5704,False,False,,,,,
1566,0.9961685823754789,0.9958196566685531,0.9962469114841479,0.9961684935841326,0.9966982131946782,0.9958196566685531,,athlete_group_holdout,tactical_style_label,male,1000m,male_1000m_tactical_style,tactical_style,45,5704,False,False,,,,,
3064,0.9918407310704961,0.9902973938604941,0.9901725510198707,0.9918467638358727,0.9901103019226024,0.9902973938604941,,time_external_season_ge_2023,tactical_style_label,male,1000m,male_1000m_tactical_style,tactical_style,45,5704,False,False,,,,,
1426,0.9957924263674615,0.9936014556036803,0.9949506608454906,0.9957940337011125,0.9963375846323415,0.9936014556036803,,random_stratified_holdout,tactical_style_label,male,1000m,male_1000m_tactical_style,tactical_style,45,5704,False,False,,,,,
1566,0.7254150702426565,0.7378135814858571,0.7111761824569857,0.7241342973715669,0.6961178016125814,0.7378135814858571,,athlete_group_holdout,key_lap_label,male,1000m,male_1000m_key_lap,key_lap,70,5704,False,False,,,,,
3064,0.6733028720626631,0.6733829053546979,0.6662732538109705,0.671878501500289,0.6638131044793174,0.6733829053546979,,time_external_season_ge_2023,key_lap_label,male,1000m,male_1000m_key_lap,key_lap,70,5704,False,False,,,,,
1426,0.7391304347826086,0.7591462290129802,0.74177027047752,0.7386705001624903,0.727634045080578,0.7591462290129802,,random_stratified_holdout,key_lap_label,male,1000m,male_1000m_key_lap,key_lap,70,5704,False,False,,,,,
5704,,,,,,,,unsupervised_full_fit,style_cluster,male,1000m,male_1000m_style_cluster,style_cluster,18,5704,False,False,0.2473938554094191,"{0: 1865, 1: 2271, 2: 184, 3: 1384}",,,
5704,,,,,,,,unsupervised_full_fit,risk_score,male,1000m,male_1000m_risk_detection,risk_detection,15,5704,False,False,,,0.12009116409537167,-0.05402177862992391,0.06807482678862449
894,0.860178970917226,0.8647445731084762,0.8585820749141686,0.860935395339727,0.8569162181701342,0.8647445731084762,0.9425783314264605,athlete_group_holdout,advancement_label,female,1000m,female_1000m_advancement,advancement,70,3896,False,False,,,,,
2042,0.8570029382957884,0.8576932838059201,0.856917152357038,0.8570784299218888,0.8569383902259332,0.8576932838059201,0.9303770697305986,time_external_season_ge_2023,advancement_label,female,1000m,female_1000m_advancement,advancement,70,3896,False,False,,,,,
974,0.8408624229979466,0.843149041014422,0.8405220086388754,0.8411574487758083,0.8406097149603643,0.843149041014422,0.9219855143263738,random_stratified_holdout,advancement_label,female,1000m,female_1000m_advancement,advancement,70,3896,False,False,,,,,
1002,0.5848303393213573,0.5835729763766317,0.5832707456987014,0.5858545667264976,0.5839072127814758,0.5835729763766317,,athlete_group_holdout,grade_label,female,1000m,female_1000m_grade,grade,45,4292,False,False,,,,,
2203,0.5569677712210622,0.5631765183415337,0.5549310049811262,0.5562591295550413,0.5711602287988246,0.5631765183415337,,time_external_season_ge_2023,grade_label,female,1000m,female_1000m_grade,grade,45,4292,False,False,,,,,
1073,0.6160298229263746,0.6159109193807912,0.6127197080636305,0.6128697310670342,0.6138574686961784,0.6159109193807912,,random_stratified_holdout,grade_label,female,1000m,female_1000m_grade,grade,45,4292,False,False,,,,,
1002,0.5209580838323353,0.2954169686149091,0.3019978912925346,0.5008179948831236,0.4594686183141333,0.2954169686149091,,athlete_group_holdout,max_round_score,female,1000m,female_1000m_max_round,max_round,70,4292,False,False,,,,,
2203,0.4607353608715388,0.3673000289979025,0.22707072863356478,0.46739454963628296,0.2519075362787041,0.26235716356993033,,time_external_season_ge_2023,max_round_score,female,1000m,female_1000m_max_round,max_round,70,4292,False,False,,,,,
1073,0.5181733457595527,0.28686855863726607,0.2996706025927682,0.49473159878052075,0.42086239347012017,0.28686855863726607,,random_stratified_holdout,max_round_score,female,1000m,female_1000m_max_round,max_round,70,4292,False,False,,,,,
1002,0.7624750499001997,0.7444229227892065,0.7475022975897543,0.7606341377308825,0.7521271831616659,0.7444229227892065,0.8364697435212396,athlete_group_holdout,final_entry_label,female,1000m,female_1000m_final_entry,final_entry,70,4292,False,False,,,,,
2203,0.7970948706309577,0.7811381980162364,0.7686894632066663,0.8008847112588101,0.7608415379531002,0.7811381980162364,0.8606208459569271,time_external_season_ge_2023,final_entry_label,female,1000m,female_1000m_final_entry,final_entry,70,4292,False,False,,,,,
1073,0.7483690587138863,0.7229797211363654,0.7204672291221218,0.749685959225592,0.7183591212989494,0.7229797211363654,0.8182665823989763,random_stratified_holdout,final_entry_label,female,1000m,female_1000m_final_entry,final_entry,70,4292,False,False,,,,,
1002,0.9950099800399201,0.9958230172343381,0.9948844199353131,0.9950209786164149,0.9939726589550899,0.9958230172343381,,athlete_group_holdout,tactical_style_label,female,1000m,female_1000m_tactical_style,tactical_style,45,4292,False,False,,,,,
2203,0.9877439854743532,0.9823757919386292,0.983780317809561,0.9877366503598961,0.985521436539788,0.9823757919386292,,time_external_season_ge_2023,tactical_style_label,female,1000m,female_1000m_tactical_style,tactical_style,45,4292,False,False,,,,,
1073,0.9953401677539608,0.9928978039593612,0.9933810101442685,0.9953440257709213,0.9939804878048781,0.9928978039593612,,random_stratified_holdout,tactical_style_label,female,1000m,female_1000m_tactical_style,tactical_style,45,4292,False,False,,,,,
1002,0.7135728542914171,0.7218393116760252,0.6990800837026337,0.7115285096072965,0.694602084921319,0.7218393116760252,,athlete_group_holdout,key_lap_label,female,1000m,female_1000m_key_lap,key_lap,70,4292,False,False,,,,,
2203,0.6509305492510213,0.6522969381392195,0.6453215883914596,0.6455303777640525,0.6491074358172079,0.6522969381392195,,time_external_season_ge_2023,key_lap_label,female,1000m,female_1000m_key_lap,key_lap,70,4292,False,False,,,,,
1073,0.700838769804287,0.7014571804113167,0.6878300856853135,0.6991114565710638,0.6819170247546998,0.7014571804113167,,random_stratified_holdout,key_lap_label,female,1000m,female_1000m_key_lap,key_lap,70,4292,False,False,,,,,
4292,,,,,,,,unsupervised_full_fit,style_cluster,female,1000m,female_1000m_style_cluster,style_cluster,18,4292,False,False,0.2403499226571086,"{0: 1631, 1: 1116, 2: 121, 3: 1424}",,,
4292,,,,,,,,unsupervised_full_fit,risk_score,female,1000m,female_1000m_risk_detection,risk_detection,15,4292,False,False,,,0.11999068033550792,-0.05009625829096942,0.06644973102813895
1327,0.880180859080633,0.8793217450579414,0.8796754894262042,0.8798106464268072,0.884049719105001,0.8793217450579414,0.943031129288798,athlete_group_holdout,advancement_label,male,1500m,male_1500m_advancement,advancement,92,4629,False,False,,,,,
2531,0.8522323192414065,0.8539350991533616,0.8502251225927642,0.8528077612840209,0.8484584142791578,0.8539350991533616,0.9317650920395055,time_external_season_ge_2023,advancement_label,male,1500m,male_1500m_advancement,advancement,92,4629,False,False,,,,,
1158,0.8652849740932642,0.8620354364736387,0.863670941099761,0.8648238218094062,0.8670317634173055,0.8620354364736387,0.9264200998751562,random_stratified_holdout,advancement_label,male,1500m,male_1500m_advancement,advancement,92,4629,False,False,,,,,
1364,0.6649560117302052,0.6693611617047817,0.6660316181313914,0.662719619608711,0.6714536005500327,0.6693611617047817,,athlete_group_holdout,grade_label,male,1500m,male_1500m_grade,grade,61,5228,False,False,,,,,
2764,0.6146888567293777,0.607720360934464,0.6066503028824404,0.6154956257949495,0.6064533120728832,0.607720360934464,,time_external_season_ge_2023,grade_label,male,1500m,male_1500m_grade,grade,61,5228,False,False,,,,,
1307,0.6710022953328233,0.6710943509502636,0.6708722380807057,0.6707528418765417,0.6730299401570694,0.6710943509502636,,random_stratified_holdout,grade_label,male,1500m,male_1500m_grade,grade,61,5228,False,False,,,,,
1364,0.6004398826979472,0.30281816622128527,0.30656075380727393,0.5764424121568663,0.5400750108410991,0.30281816622128527,,athlete_group_holdout,max_round_score,male,1500m,male_1500m_max_round,max_round,92,5228,False,False,,,,,
2764,0.46562952243125905,0.43560329685128973,0.22404140867437938,0.47663699376444135,0.2546909120526676,0.24891616962930843,,time_external_season_ge_2023,max_round_score,male,1500m,male_1500m_max_round,max_round,92,5228,False,False,,,,,
1307,0.5738332058148432,0.3282397464495802,0.34148687025181523,0.5496332599349953,0.5232413981021458,0.3282397464495802,,random_stratified_holdout,max_round_score,male,1500m,male_1500m_max_round,max_round,92,5228,False,False,,,,,
1364,0.7888563049853372,0.761322772352184,0.7645812308378259,0.787415318848727,0.7685582300024314,0.761322772352184,0.862768756151109,athlete_group_holdout,final_entry_label,male,1500m,male_1500m_final_entry,final_entry,92,5228,False,False,,,,,
2764,0.7604920405209841,0.7646742763646908,0.7303581533528247,0.7708627938970389,0.7218993298003702,0.7646742763646908,0.8422300845709098,time_external_season_ge_2023,final_entry_label,male,1500m,male_1500m_final_entry,final_entry,92,5228,False,False,,,,,
1307,0.7850038255547054,0.7448552222004957,0.7508353160428849,0.7819681935112999,0.7591043816234656,0.7448552222004957,0.8476437604705609,random_stratified_holdout,final_entry_label,male,1500m,male_1500m_final_entry,final_entry,92,5228,False,False,,,,,
