gender,distance,rows,sample_size_too_small,target_time_mean,target_time_std,target_time_median,elite_time_q25_fast,slower_time_q75
male,500m,5838,False,43.178581877355256,5.694910155060377,41.761,41.111,42.713
female,500m,4278,False,45.407587657784006,5.239014802800045,44.367999999999995,43.51325,45.31275
male,1000m,5704,False,89.39732258064515,6.970804341026346,87.74650000000001,86.15075,89.8335
female,1000m,4292,False,94.96893569431501,7.181676363719483,93.29599999999999,91.25075000000001,95.93299999999999
male,1500m,5228,False,144.9814978959449,10.167568135824242,142.89000000000001,138.429,148.26
female,1500m,3785,False,155.66779815059442,11.664351778505928,153.24300000000002,147.85499999999996,160.079
